No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes
14,AGY ZenTron® S-2 Generic S-Glass Fiber,,2.46 g/cc ,4445 MPa,0.057,86.9 GPa,,0.737 J/g-°C,,,
15,Microtherm Group Super A Alumina Based Thermal Insulation,,0.450 - 0.500 g/cc,,,0.00430 Gpa,,0.630 J/g-°C,,,
16,Mid-Mountain Materials SILTEX® 18 Amorphous Silica Textile,,0.8286 g/cc,,,,,,,,
17,3M Nextel™ 312 Industrial Ceramic Fiber,,2.70 g/cc,1700 MPa,,150 GPa,,1.05 J/g-°C,fibers,,
18,Mitsubishi Chemical Advanced Materials TIVAR™ Sterra™ DrySlide UHMW-PE Recycled Ultra High Molecular Weight Polyethylene,"ultra high molecular weight polyethylene,",,19.0 MPa,0.16,,,-150 °C,,,
19,CENTROPLAST CENTROLEN PE-UHMW Ultra-high molecular weight polyethylene,,0.940 g/cc,20.0 MPa,>= 50 %,0.800 GPa,,-200 °C,,,
20,Graft Polymer GRAFTALEN™ MP-UHHD 00850 Melt Processable Ultra-High-Molecular-Weight-Polyethylene based on High Density Polyethylene,,0.945 g/cc,27.1 - 32.9 MPa,335 - 401 %,,,,,,
21,Röchling LAMIGAMID® 700 Ultra High Molecular Weight Polyethylene,,0.950 g/cc,39.0 MPa,,1.10 GPa,,-100 °C,,,
22,Vapla Vaplatec 1000 Ultra High Molecular Weight Polyethylene,,0.930 g/cc,22.0 MPa,2.9,0.915 GPa,,,,,
23,Momentive Performance Materials Pyrolytic Boron Nitride (PBN) Coating,"aramid related materials,",1.95 - 2.22 g/cc,Compressive Strength ,220 MPa,,,,,,
24,"Silicon Carbide, Reaction-Bonded, SiSiC",thin composite sheets or laminates.,2.90 - 3.10 g/cc,150 - 450 MPa,,350 - 400 GPa,,,,,
25,"COI Ceramics Sylramic™ S400 Silicon Carbide Ceramic Matrix Composite, Carbon",,2.10 g/cc,5.52 MPa,0.0053,110 GPa,27.6 MPa,, Fiber,,
26,CoorsTek ADS-995 99.5% Alumina Thin Film,,3.88 g/cc,,,372 GPa,155 GPa,, thin film ,,
27,CoorsTek Superstrate® 996 99.6% Alumina Thin Film,,3.88 g/cc,,,372 GPa,155 GPa ,,thin film,,
28,ENrG Thin E-Strate® Zirconia Ribbon Ceramic Substrate,,6.04 g/cc,248 MPa,,207 GPa,,, thin film,,
29,,,,,,,,,,,
30,"C-Glass Fiber, Generic",,2.52 - 2.56 g/cc,3310 MPa,0.048,68.9 GPa,27.0 GPa,," fiber,",,
31,Goodfellow CVD Graphene Film on PET,,,,,,,,,,
32,Ionomer,Polymer,0.930 - 0.982 g/cc,24.0 - 41.0 MPa,300 - 500 %,,,,Flim,,
33,Nylon 6,Polymer,1.04 - 1.38 g/cc,28.0 - 80.0 MPa,4.50 - 460 %,0.100 - 4.00 GPa,23.0 - 14000,,Flim,,
34,Nylon 66,Polymer,1.09 - 1.15 g/cc,78.0 - 83.0 MPa,40.0 - 170 %,,51.0 - 2040 g,,Flim,,
35,"Acrylonitrile Butadiene Styrene (ABS), Molded",Polymer,0.882 - 3.50 g/cc,2.00 - 77.0 Mpa,1.40 - 110 %,0.778 - 21.2 Gpa,,,,,
36,"Acrylonitrile Butadiene Styrene (ABS), Heat Resistant, Molded",polymer,0.890 - 1.50 g/cc,19.6 - 63.0 MPa,2.50 - 70.0 %,1.70 - 2.70 GPa,,,,,
37,"Acrylonitrile Butadiene Styrene (ABS), Impact Grade, Molded",Polymer,1.00 - 3.50 g/cc,24.0 - 138 MPa,2.00 - 12.0 %,1.40 - 5.33 GPa,,,,,
38,"Acrylonitrile Butadiene Styrene (ABS), Transparent, Molded",Polymer,1.04 - 1.16 g/cc,30.0 - 57.0 MPa,10.0 - 70.0 %,1.35 - 2.35 GPa,,,,,
39,"Acrylonitrile Butadiene Styrene (ABS), Extruded",Polymer,1.01 - 1.20 g/cc,22.1 - 74.0 MPa,3.00 - 150 %,1.00 - 2.65 GPa,,,,,
40,"Acrylonitrile Butadiene Styrene (ABS), Plating Grade",Polymer,1.03 - 2.50 g/cc,20.0 - 48.0 MPa,3.00 - 70.0 %,1.70 - 2.77 GPa,,,,,
41,"Acrylonitrile Butadiene Styrene (ABS), Unreinforced, Flame Retardant",Polymer,1.04 - 1.43 g/cc,21.6 - 52.0 MPa,2.00 - 56.0 %,1.27 - 4.48 GPa ,,,,,
42,"Acrylonitrile Butadiene Styrene (ABS), Glass Fiber Filled, Flame Retardant",Polymer,1.13 - 1.48 g/cc,35.0 - 85.0 MPa,1.50 - 40.0 %,3.10 - 9.65 GPa,,,,,
43,"Acrylonitrile Butadiene Styrene (ABS), 10% Glass Fiber Filled",Polymer,1.06 - 1.40 g/cc,28.0 - 88.3 MPa,2.00 - 10.0 %,2.50 - 5.88 GPa,,,,,
